x,y1,y2,y3,y5,y7,y10,y15,y20,y50,y100,y1000,y10000
6.9,0.00654823876123824,0.00286184533705825,0.00129148489301135,0.000325865936476694,0.000103933257566203,2.55465509837655e-05,4.25850930038711e-06,1.0994709706277e-06,1.5501326827995e-08,1.146772964572e-09,3.09659209678228e-11,1.93205889116271e-11
7,0.00636619772367581,0.00274564722358433,0.00122336293362824,0.000301344029288039,9.39920534258466e-05,2.24070418060354e-05,3.57246052378434e-06,8.87939021020833e-07,1.08087727590193e-08,7.14361092675298e-10,1.59466569392689e-11,9.67401284134316e-12
7.1,0.00619159475167848,0.00263559551870235,0.00115962307618394,0.000278919848050357,8.50928477576186e-05,1.96775938307596e-05,3.00091736971186e-06,7.18022377005189e-07,7.53635223205146e-09,4.43966733064379e-10,8.14138431426981e-12,4.79637258303314e-12
7.2,0.00602403266812625,0.00253129302934954,0.00109993523115942,0.000258393546441547,7.71174373741998e-05,1.73016866979953e-05,2.5241531435914e-06,5.81369435920935e-07,5.25478422178481e-09,2.7530968911281e-10,4.12083713224561e-12,2.35472895392618e-12
7.3,0.00586314028704717,0.00243237267017794,0.00104399761788968,0.000239586147638493,6.99619829364577e-05,1.52309699845649e-05,2.12593669697319e-06,4.71334268812641e-07,3.66427259359658e-09,1.70363370902261e-10,2.06798325902022e-12,1.14470222736616e-12
7.4,0.00570857041219136,0.00233849486082584,0.000991534057170236,0.000222337185623128,6.35351553808503e-05,1.34240316686472e-05,1.79289747234947e-06,3.82622954664793e-07,2.55557634746768e-09,1.05210463706962e-10,1.0289609511755e-12,5.51022813828034e-13
7.5,0.00555999801194394,0.00224934517452504,0.000942291548015669,0.000206502631970009,5.77565344230525e-05,1.18453591802554e-05,1.51400838668618e-06,3.11014180083918e-07,1.78273138888473e-09,6.48504559546833e-11,5.07641539338303e-13,2.62647917816447e-13
7.6,0.00541711855316186,0.00216463221136304,0.000896038096263099,0.00019195307144926,5.25552232594272e-05,1.0464461950538e-05,1.28016428635894e-06,2.53138352550416e-07,1.24395734697205e-09,3.99007463263014e-11,2.48335046384588e-13,1.23967424893341e-13
7.7,0.00527964647841749,0.00208408567259299,0.000852560766649728,0.000178572094735177,4.78686488977254e-05,9.25512952684349e-06,1.08383797501576e-06,2.06302840217973e-07,8.68306369168568e-10,2.45078085060231e-11,1.20464154525421e-13,5.79391826049325e-14
7.8,0.00514731381280386,0.00200745461507795,0.000811663933420534,0.000166254880767563,4.36415220463709e-05,8.19480360142842e-06,9.18799257799076e-07,1.6835359458948e-07,6.06335033857146e-10,1.50287926968743e-11,5.7947288223395e-14,2.68145349609725e-14
7.9,0.00501986888793235,0.00193450586731936,0.000773167707509785,0.000154906944972178,3.98249343052148e-05,7.26404585979301e-06,7.7988522144489e-07,1.37565488915728e-07,4.23591931771185e-10,9.20194529088667e-12,2.76427014861443e-14,1.22886245682497e-14
8,0.00489707517205832,0.00186502259059595,0.000736906520946927,0.000144443032695639,3.63755736367175e-05,6.44608651405083e-06,6.62812209754334e-07,1.12555336535788e-07,2.96073910341768e-10,5.62613334675073e-12,1.30772582031706e-14,5.57665000192897e-15
8.1,0.00477871019642382,0.00179880297056567,0.000702727851415189,0.000134786139922661,3.3255041845097e-05,5.72644085007845e-06,5.64021762209158e-07,9.22128352624231e-08,2.07057572640071e-10,3.43520936186399e-12,6.13562278836141e-15,2.50600904883346e-15
8.2,0.00466456456893011,0.00173565902629179,0.000670491071883617,0.000125866645682483,3.04292601276907e-05,5.09258316925041e-06,4.80554244078161e-07,7.56456914503617e-08,1.44890763064304e-10,2.09481813203583e-12,2.85511338051881e-15,1.11514943467122e-15
8.3,0.00455444106715969,0.0016754155250725,0.000640066411977796,0.000117621542570347,2.78679507512399e-05,4.53366921644493e-06,4.09945076811761e-07,6.21359695598258e-08,1.0145372768101e-10,1.27592631651549e-12,1.31773463594957e-15,4.91390512527026e-16
